club,club_full,manager,start_date,start_precision,end_date,end_precision,caretaker,source_url,confidence,notes
Santa Clara,CD Santa Clara,Tiago Sousa,2021-12-13,day,2022-01-10,day,true,https://en.wikipedia.org/wiki/2021%E2%80%9322_Primeira_Liga#Managerial_changes,high,
Santa Clara,CD Santa Clara,Mário Silva,2022-01-10,day,2023-01-06,day,false,https://en.wikipedia.org/wiki/2021%E2%80%9322_Primeira_Liga#Managerial_changes,high,
Santa Clara,CD Santa Clara,Jorge Simão,2023-01-11,day,2023-02-26,day,false,https://en.wikipedia.org/wiki/2022%E2%80%9323_Primeira_Liga#Managerial_changes,high,
Santa Clara,CD Santa Clara,Danildo Accioly,2023-02-26,day,,,false,https://en.wikipedia.org/wiki/2022%E2%80%9323_Primeira_Liga#Managerial_changes,low,end unverified
Santa Clara,CD Santa Clara,Petit,2026-02-03,day,ongoing,,false,https://en.wikipedia.org/wiki/2025%E2%80%9326_Primeira_Liga#Managerial_changes,medium,
Tondela,CD Tondela,Pepa,2017-01-10,day,2019-05-24,day,false,https://en.wikipedia.org/wiki/Pepa_(footballer),high,
Tondela,CD Tondela,Pako Ayestarán,2020-08-09,day,2022-03-16,day,false,https://en.wikipedia.org/wiki/2020%E2%80%9321_Primeira_Liga#Managerial_changes,high,
Tondela,CD Tondela,Nuno Campos,2022-03-16,day,,,false,https://en.wikipedia.org/wiki/2021%E2%80%9322_Primeira_Liga#Managerial_changes,low,end unverified
Tondela,CD Tondela,Cristiano Bacci,2025-11-13,day,2026-03-22,day,false,https://en.wikipedia.org/wiki/2025%E2%80%9326_Primeira_Liga#Managerial_changes,high,
Tondela,CD Tondela,Gonçalo Feio,2026-03-29,day,,,false,https://en.wikipedia.org/wiki/2025%E2%80%9326_Primeira_Liga#Managerial_changes,low,end unverified
Setubal,Vitória FC (Setúbal),Lito Vidigal,2018-05-22,day,,,false,https://en.wikipedia.org/wiki/2018%E2%80%9319_Primeira_Liga#Managerial_changes,low,end unverified
Setubal,Vitória FC (Setúbal),Albert Meyong,2019-10-30,day,2019-11-11,day,true,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,high,
Setubal,Vitória FC (Setúbal),Julio Velázquez,2019-11-11,day,2020-07-02,day,false,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,high,
Setubal,Vitória FC (Setúbal),Albert Meyong,2020-07-02,day,2020-07-05,day,true,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,high,
Setubal,Vitória FC (Setúbal),Alexandre Santana,2020-07-05,day,,,false,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,low,end unverified
Vizela,FC Vizela,Manuel Tulipa,2022-11-30,day,2023-05-31,day,true,https://en.wikipedia.org/wiki/2022%E2%80%9323_Primeira_Liga#Managerial_changes,high,
Vizela,FC Vizela,Pablo Villar,2023-06-02,day,2023-12-18,day,false,https://en.wikipedia.org/wiki/2023%E2%80%9324_Primeira_Liga#Managerial_changes,high,
Vizela,FC Vizela,Rubén de la Barrera,2023-12-19,day,,,false,https://en.wikipedia.org/wiki/2023%E2%80%9324_Primeira_Liga#Managerial_changes,low,end unverified
Belenenses,Belenenses SAD,Silas,2018-01-15,day,2019-09-05,day,false,https://en.wikipedia.org/wiki/2017%E2%80%9318_Primeira_Liga#Managerial_changes,high,
Belenenses,Belenenses SAD,Pedro Ribeiro,2019-09-13,day,2020-01-12,day,false,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,high,
Belenenses,Belenenses SAD,Petit,2020-01-15,day,2021-10-19,day,false,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,high,
Belenenses,Belenenses SAD,Filipe Cândido,2021-10-19,day,2022-01-11,day,false,https://en.wikipedia.org/wiki/2021%E2%80%9322_Primeira_Liga#Managerial_changes,high,
Aves,CD Aves,Ricardo Soares,2017-05-27,day,2017-10-02,day,false,https://en.wikipedia.org/wiki/2017%E2%80%9318_Primeira_Liga#Managerial_changes,high,
Aves,CD Aves,Leandro Pires,2019-10-21,day,2019-11-13,day,true,https://en.wikipedia.org/wiki/2019%E2%80%9320_Primeira_Liga#Managerial_changes,high,
